,Image_name,Label,Processed_Text,political_specific_count,political_specific_ratio
0,train0001.jpg,Political,হরেক রকম চোর দিয়া বানাইছো মেলা পিসি তোমার দরবারে এখন chi এর খেলা,2,0.15384615384615385
1,train0002.jpg,NonPolitical,বর যাত্রী যাওয়ার টাইমে যখব গাড়িতে জায়গা কম পড়ে ছোটরাঃ,1,0.1
2,train0003.jpg,NonPolitical,তুমিকেখা নাবলল বুকে অনেক ব্যখাহেয় ঠিক মত পানি খাও এটা গ্যাস্রিকের ব্যথা,2,0.16666666666666666
3,train0004.jpg,NonPolitical,যখন ভল্লুক এসে পড়ে এবং আপন এবং আপনার রেস্টফরেন্ড দুরজনের কেউই জানেন না কিভাবে গাছে চড়তে হয়,1,0.058823529411764705
4,train0005.jpg,NonPolitical,বন্ধুযখন তার গফকেকাজিন বলে পরিচয় দেয় সম্পর্কবদলে গেল পলকে একটি,0,0.0
5,train0006.jpg,Political,নির্বাচনের দিন এগিয়ে আসছে সীমান্তের প্রতিটি ভারতীয় সেনা এবং দেশবিরোধী জঙঙ্গ any chuckles danger,3,0.21428571428571427
6,train0007.jpg,NonPolitical,oeeije ceeuaar deejay ofeiraii আমীয় একটী পাখি ড্রেস কিনে দিবা gag পাখিরা আবার ড্রেস পড়লো কবে যে তুমি পাখির ড্রেস পড়বা!,2,0.09523809523809523
7,train0008.jpg,Political,তদন্ত না করে পাকিস্তানকে দোষারোপ করাউচিং হয়ানি মোদির আমার বিরোধীতা করো করতে থাকো কিন্তু দেশের বিরোধীতা করোন,3,0.17647058823529413
8,train0009.jpg,NonPolitical,আমরহর্ট কেপ্রশ্ন করলামঃ নভালোবাস মানে কি? আকাইম্মা হরটবললঃ আমার কাজরক্ত পাম্প হুদাইসিলেবাসের বাইরে প্রশ্ন করিস না করা,0,0.0
9,train0010.jpg,Political,আমি আওয়ামীলীগ করি করোনাভাইরাস যখন জানতে পারে,0,0.0
10,train0011.jpg,NonPolitical,teacher সময় শেষ খাতা দেওনা কেন? student স্যার সময়ের চেয়ে জীবনের মূল্য বেশি teacher কি? student সময়ের জন্য লেখতেনা পেরে যাদ ফেইল কার এবং পরে আত্যহত্যা কার তখন? teacher পরবগট,0,0.0
11,train0012.jpg,Political,দাদা পুরানো তালা ভাঙতে হবে সস্তায় কিছু লেই কলকাতা পূলিশে যোগাযোগ করুণ,3,0.25
12,train0013.jpg,NonPolitical,এইচএসসি রেসাল্টের পর যখন তোমার মা রাজুর পরিবর্তে তোমাকে আস্ত ডিম খেতে দেয় elf এঞ hernia,0,0.0
13,train0014.jpg,Political,সূমন আহম্মেদ বঙ্গবন্ধু সেটেলাইট গক্য গৌপিত টকী কেজি,2,0.25
14,train0015.jpg,Political,মিত্রোঁ বাম পন্থীরা রাজনৈতিক কাজকর্মের জন্য কৌটো নাচিয়ে পেয়সা তোলে ভিখারীর মতো কিন্তু আমরা ভিক্ষা করবো না আমরা পিএম কেয়ার ফান্ড খুলবো,6,0.2727272727272727
15,train0016.jpg,NonPolitical,টাংগাইলের শাডি আর চমচয মহেরা জমিদার বড়ি গোপালপুর গুষজমসজিদ,0,0.0
16,train0017.jpg,NonPolitical,cluolautar raja gimlujaj গুম হইবেন? তো নারায়নগঞ্জ যান না ক্যারে? গুম হমু!! বলছিলাম নাকি ভাই?,1,0.06666666666666667
17,train0018.jpg,NonPolitical,saying গরুর মাংস cause strict diet like,0,0.0
18,train0019.jpg,NonPolitical,ডিয়ার পৃথিরী টুদ্য সেটিসদ্যান গোটু ikkeuamare imairaila দ্যা প্রোফাইল সেঞ্চি অ্যান্ডচয়েস জেনারেল মুড়,1,0.07692307692307693
19,train0020.jpg,NonPolitical,rulhustilllaye ereeebeegu সামনে পহেলা বৈশাখ একটা ড্রেসও কেউ গিফট করলো না এতোগুলা পচা,1,0.07692307692307693
20,train0021.jpg,Political,সৌরভ গাঙ্গূলির বিরব্দে অন্যায় হযেছে রোমদের পরণ করতে allies রত ডাক আর আমাব্দর সাগ্ন্যায় হয়েছে!? করমনিক্ষা শাবীবর্লি প্রানীদের,1,0.05555555555555555
21,train0022.jpg,Political,amp amanda ত্রিপুরায় গণতন্ত্রের হত্যা হয়েছে বিপ্লব দেব bipolar deb সরকার মানুষের অধিকার সুরক্ষা দিতে ব্যর্থ তোপ ফিরহাদ হাকিমের tripura firhadhakim পশ্চিমবঙ্গে পঞ্চায়েত ভোটে তো গণতন্ত্র পাগলু ডান্স করছিল!,12,0.41379310344827586
22,train0023.jpg,Political,এই সময়ে পরীক্ষা নলে ছাত্রছাত্রীদের কোরোণা সংকরম হবে খুব সহজেই তারা শারীরিকভাবে অসুস্থ হয়ে যাবে ভারত রাষ্ট্র,3,0.17647058823529413
23,train0024.jpg,NonPolitical,মা ওই যে ইয়ের উপ্রে আছে ওইটা নিয়া এর নিচে রাখা লে আমি strain,0,0.0
24,train0025.jpg,NonPolitical,vajumideti sane let লোডশেডিং আল্লাহর রহমত কাছে আসেন আপনারে আল্লাহুর গজব দেখাই,0,0.0
25,train0026.jpg,Political,দোষী যেই হোকনা কেন ছেড়েকখা বলবন mbphhunokey narmada idea এমন দৃঢ় পদক্ষেপ নেওজন্য থযংকু,2,0.14285714285714285
26,train0027.jpg,NonPolitical,আম্মুর সাথে বাইরে যাওয়া বিদ্যমান আম্মু মিনিট দাঁড়া আমি এখনই রেডি হয়ে আসতেসি মিপর আমি mgjeueingjmemes,0,0.0
27,train0028.jpg,NonPolitical,"ঈঁ আম্মু, বাইরে খেলতে যাই? যাও, কিন্তু টী সুইটার আর টুপিপরে যাবী কারণ বাইবে অনেক শীতয written টা সুইটার?",0,0.0
28,train0030.jpg,NonPolitical,ওরিও বয় রমজান মাসে শয়তান কে বন্দিকরে রাখা হয় ওরও ব্রয় ওরিও রয় তাতে আর উপায় তুই তো নিজেই একটা শয় তান ওরিও বয় কি,0,0.0
29,train0031.jpg,NonPolitical,আমাকে যখন আম্মু প্রথঘবার নাসারি এর ক্লাস রেখে আসে helljmeme,0,0.0
30,train0032.jpg,NonPolitical,এই জানস বায়ারন মিউনিখ তোহ আর চ্যাম্মপিয়ন্স লীগে ভালো খেলতে পারবে না কি বলস? কেন পরবেনী? আরে দেখস নাই জামানি তৌহ ওদের সব ভালো ভালো খেলোয়াড়দের কিনে ফেলসে,0,0.0
31,train0033.jpg,Political,গোটা শিক্ষা দপ্তর জেলে সেটা বড়ো কথানয় বিধায়কপিলটপকা সেঢাড়ো কথানয় eyes পরযযত টেপ্রূটেঘচ্ছে সেঢা বড়া কথা নযয়! তহলবডোকেথা কোনটাঃ ডাইপো নব জোয়ারআনছে,5,0.22727272727272727
